"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.2597,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.2661,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.2412,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.1804,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.1302,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.0461,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.0304,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.0695,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",102.136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.0627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.8529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.5221,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.1771,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.8972,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.7033,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.576,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.3894,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.2985,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.2455,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.2383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.2593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.475,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.8529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",101.2066,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.2379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.0678,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.7409,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.4101,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.0838,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",99.81183,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",99.59144,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.45091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.4236,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.38405,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.19131,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",98.8444,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",98.6171,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",98.56428,
